Study Name	Abbreviation	Data Modalities	Diseases Included	Sample Size	Access URL	FAIR Compliance Notes	Dataset Type	Date added to catalog
EEG recordings from: Alzheimer's disease, Frontotemporal dementia and Healthy subjects		[clinical] Electroencephalography (EEG); Mini-Mental State Examination (MMSE); Demographic assessments	Alzheimer's Disease; Frontotemporal Dementia; Healthy Controls	88 participants	https://doi.org/10.3390/data8060095	Strong FAIR compliance with standardized BIDS format, comprehensive metadata documentation, open access via OpenNeuro repository (ds004504), detailed preprocessing pipeline documentation, and clear data structure following community standards; dataset includes both raw and preprocessed versions with explicit documentation of clinical protocols, recording parameters, and cognitive assessments	Human	January 2026
Genome-wide DNA methylation profiling in the superior temporal gyrus reveals epigenetic signatures associated with Alzheimer's disease	GSE76105	[genetics] Epigenetic - Methylation; Illumina HumanMethylation450 BeadChip	Alzheimer's Disease; Non-demented Controls	68 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76105	Strong FAIR compliance with publicly accessible genome-wide methylation data deposited in NCBI GEO (GSE76105) using standardized Illumina HumanMethylation450 BeadChip platform and MIAME-compliant metadata. Data is provided in standard GEO SOFT formats with both raw (IDAT) and processed data files available. The study employs controlled vocabularies and is indexed in major databases (GEO, PubMed, NCBI) with comprehensive methodology documentation. Reusability is supported through detailed sample annotations including age, gender, ethnicity, and tissue characteristics. Findability could be enhanced through DOI assignment and additional cross-repository registration for optimal discoverability.	Human	January 2026
Harmonized 10/66 and Mexican Cognitive and Aging Study Dataset	10/66-MexCog	[clinical] Cognitive assessments; Dementia diagnosis; Disability measures; Caregiver burden assessments; Risk factor evaluations	Dementia; Mild Cognitive Impairment	16,115 participants	https://www.mhasweb.org/DataProducts/AncillaryStudies.aspx	Strong FAIR compliance with formal harmonization procedures, standardized diagnostic criteria across cohorts, comprehensive metadata dictionary, and sparsity analysis for quality control. Data available through multiple access points (ADDI platform for 10/66, MexCog website repository) with formal data request procedures. Well-documented longitudinal study protocols published in peer-reviewed journals. Accessibility enhanced through established data sharing mechanisms, though not yet in unified open-access repositories.	Multi-study	January 2026
Plasma microRNA Biomarker Detection for Mild Cognitive Impairment Using Differential Correlation Analysis	GSE90828	[clinical, transcriptomics] Clinical assessments; Plasma microRNA expression profiling; Non-coding RNA profiling	Mild Cognitive Impairment; Alzheimer's Disease; Normal Controls	23 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90828	Strong FAIR compliance demonstrated through publicly accessible GEO deposition (GSE90828) with comprehensive MIAME-compliant metadata, standardized data collection protocols using Exiqon Human PCR panels I+II V2, detailed experimental protocols and processing steps, structured sample annotations with age-matched controls and MCI patient characteristics, machine-readable data formats (CEL, TXT, SOFT), and persistent identifier. Reusability supported by detailed methodology for differential correlation analysis and pathway analysis, though enhanced by GEO's standard public domain terms rather than explicit data use licenses.	Human	January 2026
CRISPR interference Screens in induced Pluripotent Stem Cell derived neurons	CRISPRi iPSC-neuron screens	[genetics, transcriptomics] Next-generation sequencing; CRISPR guide RNA sequencing; Gene expression profiling	Neurodegenerative diseases; Tau pathology	Not applicable (cellular model system)	https://www.biorxiv.org/content/10.1101/2023.06.16.545386v1	Good FAIR compliance with structured genetic and transcriptomic NGS data from CRISPRi screens in iPSC-derived neurons using standardized genomic data formats. Local data access designation indicates restricted accessibility requiring direct contact with investigators, which limits the Accessible principle. Findability is moderate through bioRxiv preprint indexing. Interoperability is supported through standard NGS file formats, though metadata completeness is unclear. Reusability depends on methods documentation in the preprint and availability of analysis protocols.	Biosample	January 2026
AD Synthetic Patient Data - Critical Path for Alzheimer's Disease (CPAD) Synthetic Dataset	CPAD Synthetic	[clinical] Synthetic clinical trial data; Control arm patient records; Cognitive assessments	Alzheimer's Disease; Mild Cognitive Impairment	5000 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA16/ad-synthetic-patient-data	Excellent FAIR compliance: The dataset is hosted on the ADDI (Alzheimer's Data Discovery Initiative) platform which ensures strong findability through standardized metadata and searchability. As a synthetic dataset derived from the Critical Path Institute's CPAD collection, it maintains high interoperability through standardized clinical trial data formats while eliminating privacy barriers to enable unrestricted reusability. The ADDI platform provides comprehensive documentation of methods and data provenance, with accessible protocols for local data access.	Synthetic	January 2026
BCG Vaccine in Prevention of Alzheimer's Disease (BCG-PANDA)	BCG-PANDA	[clinical, longitudinal] Clinical assessments; Plasma biomarkers; Amyloid testing; Immunological markers	Alzheimer's Disease	49 participants	https://www.mdpi.com/2076-2607/10/2/424/htm	Good FAIR compliance. Published as open access manuscript enabling findability and accessibility. Clinical trial data with plasma amyloid biomarkers (Aβ42/40 ratio, APS scores) and immunological markers (CD4:CD8, CMV) are documented. However, raw data sharing terms and structured metadata repositories are not specified beyond the publication, limiting full reusability. Local data access designation suggests additional data may be available upon request but requires clarification of access procedures.	Human	January 2026
Baltimore Longitudinal Study of Aging Synthetic Data	BLSA	[clinical] Synthetic longitudinal data including demographic data; clinical assessments; cognitive function tests; physical performance measures; laboratory biomarkers; medical history	Alzheimer's Disease; Dementia	2210 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/DA20/blsa-synthetic-data	Excellent FAIR compliance. The dataset is hosted on the ADDI platform (addi.ad-datainitiative.org) with comprehensive metadata, standardized data collection protocols from the original BLSA cohort, and includes additional resources such as the BLSA Meta-Encyclopedia explorer tool. Clear data access procedures are documented with specific contact information (BLSAdata@nih.gov), and the synthetic nature ensures privacy-preserving data sharing while maintaining statistical properties of the original longitudinal study. However, as a Synthetic dataset, practical reusability for publication-quality results is limited by design, making it primarily suitable for exploratory analysis and proposal development.	Synthetic	January 2026
Baltimore Longitudinal Study of Aging Open Data	BLSA	[clinical] Clinical assessments; Cognitive assessments; Physical performance measures; Cardiovascular measures; Body composition data; Laboratory biomarkers; Demographic information; Lifestyle and behavioral data	Alzheimer's Disease; Dementia; Normal Aging	954 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA19/blsa-open-data	Excellent FAIR compliance. Data is hosted on the ADDI platform with mandatory open science policies and rapid data sharing. The BLSA Open dataset features comprehensive standardized metadata through the BLSA Meta-Encyclopedia, includes R scripts for data loading, and provides clear documentation of data structure and variables. As part of ADDI infrastructure, it supports interoperability through standardized formats and includes persistent identifiers. Access is streamlined with minimal barriers (simple project description only, no full DUA required for open subset), and the dataset is well-integrated with related permissioned and synthetic data offerings. Contact information and support channels are clearly documented, and the dataset is linked to extensive longitudinal data collection protocols from America's longest-running aging study.	Human	January 2026
Detection of Alzheimer's Disease at Mild Cognitive Impairment and Disease Progression Using Autoantibodies as Blood-based Biomarkers		[proteomics] Protein microarray; Autoantibody profiling; Serum biomarkers; Invitrogen ProtoArray v5.0	Alzheimer's Disease; Mild Cognitive Impairment; Parkinson's Disease; Multiple Sclerosis; Breast Cancer; Normal Controls	100 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA23/detection-of-alzheimer-s-disease-at-mild-cognitive-impairment-and-disease-progression-using-autoantibodies-as-blood-based-biomarkers---gse74763	Excellent FAIR compliance with data accessible through the ADDI platform (community.addi.ad-datainitiative.org), providing standardized access to publicly available proteomics data originally deposited in the GEO repository under accession GSE74763. The dataset features comprehensive metadata including platform details (GPL13669), detailed methodology descriptions, and structured sample annotations following MIAME standards. Data includes 50 MCI and 50 control samples with additional disease specificity cohorts, supporting open science initiatives with persistent identifiers and standardized retrieval protocols.	Human	January 2026
RNA Sequencing of Entorhinal Cortex from Alzheimer's Disease Patients and Controls	GSE53697	[transcriptomics] RNA-seq; High-throughput sequencing; Gene expression profiling	Alzheimer's Disease; Normal Controls	17 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA41/rnaseq-in-alzheimer-s-disease-patients---gse53697	Excellent FAIR compliance with mandatory data sharing through ADDI portal and NCBI GEO (GSE53697), publicly accessible transcriptomics data with persistent identifiers, comprehensive metadata including platform details (Illumina HiSeq 2500, GPL16791), SRA accession (SRP034831), standardized file formats, and detailed provenance from Mount Sinai Brain Bank with clear protocols for RNA extraction and sequencing	Human	January 2026
10/66 Dementia Research Group - Latin America Incidence Database	10/66 DRG	[clinical] Demographics; Lifestyle risk factors; Non-communicable disease assessments; Clinical interviews; Cognitive assessments; Physical examinations; Neurological examinations; MCI diagnosis; Dementia diagnosis; Caregiver burden measures	Dementia; Mild Cognitive Impairment; Alzheimer's Disease; Cognitive Decline	14,896 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/DA61/10-66	Excellent FAIR compliance: data shared through AD Data Initiative platform (addi.ad-datainitiative.org) with standardized protocols and comprehensive metadata; population-based longitudinal cohort with validated methodology across 6 Latin American countries; uniform standardized training for data collection; well-documented study design with published protocols and cohort papers; data includes comprehensive demographic, clinical, cognitive, and caregiver assessments following 10/66 DRG standardized protocols	Multi-study	January 2026
Dementia Research Group 10/66 - Life2Years Population-Based Cohort Study	10/66 DRG Life2Years	[clinical] Demographics; Lifestyle risk factors; Non-communicable disease assessments; Cognitive assessments; Physical examinations; MCI and dementia diagnosis; Participant and informant questionnaires; Caregiver burden measures	Dementia; Alzheimer's Disease; Mild Cognitive Impairment; Cardiovascular Disease; Stroke; Hypertension; Diabetes	6917 participants	https://academic.oup.com/ije/article/46/2/406/2617175	Strong FAIR compliance with well-documented standardized protocols across multiple international sites, comprehensive metadata available through published cohort and protocol papers, formal data access procedures through local data access agreements, and extensive documentation of assessment instruments and data collection methods ensuring interoperability and reusability across the research community.	Human	January 2026
Global Epidemiology of seveRity in Alzheimer's disease Study - Japan	GERAS-J	[longitudinal, clinical] Clinical assessments; MMSE questionnaire; ADAS-COG questionnaire; ADCS-ADL questionnaire; NPI questionnaire; EQ-5D questionnaire; ZBI-22 questionnaire; RUD questionnaire; Healthcare resource utilization; Caregiver burden measures; Sociodemographic data; Medical costs; Comorbidities	Alzheimer's Disease	553 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA34/the-geras-study---japan	Excellent FAIR compliance: dataset is available through the AD Data Initiative (ADDI) platform, which implements mandatory data sharing policies and standardized metadata schemas. The study provides comprehensive longitudinal clinical data with well-documented assessment instruments (MMSE, ADAS-COG, ADCS-ADL, NPI, EQ-5D, ZBI-22, RUD questionnaires) following standardized protocols. Data structure enables interoperability with companion GERAS studies (EU, US, GERAS II), facilitating cross-regional comparisons. The ADDI platform ensures findability through persistent identifiers and supports reusability through clear data documentation, though specific licensing terms should be reviewed during access request procedures.	Human	January 2026
Bio-Hermes	Bio-Hermes	[clinical, cognitive, genetics, imaging, proteomics] Clinical; Cognitive assessments; Digital cognitive assessments; Voice assessments; Genomics; PET; PET-amyloid; Plasma; Blood-based biomarkers; Proteomic	Alzheimer's Disease; Mild Cognitive Impairment	1,000 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance as a platform study with integrated multi-modal biomarker comparison framework including blood-based, digital, imaging (PET-amyloid), and cognitive assessments with data accessible through the Alzheimer's Disease Data Initiative (ADDI) discover portal, ensuring findability, accessibility, and adherence to community standards for AD research data sharing.	Human	January 2026
Banner Alzheimer's Prevention Initiative Generation Study 2 (CNP520)	API Gen2	[clinical, imaging, genetics] Clinical assessments; Cognitive testing; Imaging - DTI; Imaging - fMRI; Imaging - MRI; Imaging - PET; CSF biomarkers; Plasma biomarkers; Serum biomarkers; Genomic DNA	Preclinical Alzheimer's Disease; Alzheimer's Disease Prevention; Elevated Brain Amyloid	1145 participants	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA68/banner-alzheimer-s-prevention-initiative---gen1-gen2	Excellent FAIR compliance as data is available through AD Data Initiative (ADDI) platform, which enforces mandatory data sharing policies and standardized metadata schemas. The dataset includes comprehensive multimodal data (clinical, cognitive, multiple imaging modalities including DTI/fMRI/MRI/PET, and biospecimen data including CSF, plasma, serum, and genomic DNA) with well-documented protocols from a registered clinical trial (NCT03131453). Local data access indicates controlled sharing with formal request procedures, ensuring appropriate data governance while maintaining accessibility for qualified researchers.	Human	January 2026
Neuropathological quantifications, transcriptome, and in situ proteomics profile datasets for neuronal basis of circadian rhythm dysfunction in tauopathies		[proteomics, transcriptomics] Proteomics; Transcriptomics; pathological quantifications; Spatial proteomics profiling	Alzheimer's Disease; Progressive Supranuclear Palsy; Tauopathies; Healthy Controls	10 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance. Dataset is hosted on Alzheimer's Data Discovery Platform (discover.alzheimersdata.org), which follows mandatory open science policies for Alzheimer's research. Multi-modal omics data (NanoString nCounter transcriptomics and Digital Spatial Profile proteomics) with standardized platforms ensures interoperability. Comprehensive gene panels and protein lists provided with normalized data in standard formats (RFL, XLSX). Detailed anatomical region specifications (LC, LHA, TMN, SCN, SON, PVN) and clear participant categorization (Braak staging criteria) provide rich metadata. Local data access indicates controlled sharing protocols maintaining data governance while supporting reusability for circadian rhythm and tauopathy research.	Human	January 2026
Banner Alzheimer's Prevention Initiative - Generation Study 1 (CAPI015)	API Gen1	[clinical, imaging, genetics] Clinical assessments; Cognitive testing; Imaging - MRI; Imaging - fMRI; Imaging - DTI; Imaging - PET; CSF biomarkers; Plasma biomarkers; Serum biomarkers; Genomic DNA	Alzheimer's Disease; Preclinical Alzheimer's Disease; APOE4 homozygous carriers	480 participants (screened); 400+ participants (randomized)	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA68/banner-alzheimer-s-prevention-initiative---gen1-gen2	Excellent FAIR compliance. Study is Findable through ADDI platform with unique dataset identifier (DA68) and comprehensive study documentation. Accessible through structured ADDI data request procedures with clear contact information (APIData@bannerhealth.com). Interoperable with standardized clinical trial data formats, multi-modal neuroimaging protocols (DICOM standard), and integration with Alzheimer's research community standards. Reusable with detailed protocol documentation, both cross-sectional (screened participants) and longitudinal (randomized participants) datasets available, comprehensive metadata including biomarker and imaging specifications, and clear data use procedures through established Alzheimer's data sharing infrastructure.	Human	January 2026
RNA-sequencing of cells derived from dermis and postmortem dura mater from the same subject		[transcriptomics] RNA-sequencing	Not specified	1 participant	http://discover.alzheimersdata.org/	Excellent FAIR compliance with comprehensive metadata documentation including detailed cell culture protocols, library preparation methods (SMARTer Stranded Total RNA-Seq Kit v2), sequencing parameters (Illumina NovaSeq 6000, paired-end 150bp), and complete bioinformatics pipeline (Salmon, Tximport, DESeq2). Data accessible through AD Data Initiative platform with well-documented biological sample metadata (matched dermis and dura mater from same subject) and standardized transcriptomics methodology.	Biosample	January 2026
Human iPSC Astrocytes and iMGL Transcripts - MAPT IVS10+16 Mutation Study		[transcriptomics] RNA-seq; DESeq2 Analysis	Frontotemporal Dementia	1 participant	https://doi.org/10.1101/2024.05.15.24307444	Good FAIR compliance with structured transcriptomics data (Fastq files and DESeq2 results) following standardized RNA-seq protocols using Illumina DRAGEN pipeline and Ensembl reference genome, though accessibility is limited by local data access requirements and the preprint publication stage; metadata includes detailed experimental protocols for iPSC differentiation and sequencing methods, supporting reproducibility and reusability within the FTD research community.	Biosample	January 2026
Single Cell RNA Sequencing Data Derived from Early-Onset Alzheimer's Disease Cases and Controls		[transcriptomics] Single cell RNA sequencing; Peripheral blood mononuclear cells; Gene expression profiles	Alzheimer's Disease; Early-Onset Alzheimer's Disease	16 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with data available through the AD Data Initiative portal (discover.alzheimersdata.org), standardized single cell RNA-seq data formats (10x Genomics Chromium), comprehensive metadata including clinical phenotypes and detailed processing protocols, Cell Ranger processed data with GRCh38 alignment, and Seurat-compatible quality-controlled matrices enabling robust interoperability and reuse across analysis platforms	Human	January 2026
Neurite and whole cell transcriptomics on iNeurons		[transcriptomics] RNA sequencing; Neuritic transcriptome; Whole cell transcriptome; iPSC-derived neurons	Frontotemporal Dementia	1 participant	http://discover.alzheimersdata.org/	Excellent FAIR compliance with data available through the Alzheimer's Disease Data Initiative (ADDI) discovery platform, comprehensive transcriptomics data including fastq files, well-documented experimental conditions (wild type, TDP-43 KD, hnRNPA1 KD), standardized RNA sequencing methodology, and detailed metadata describing neurite fractionation protocols and iPSC-derived neuron differentiation timeline.	Biosample	January 2026
A reference induced pluripotent stem cell line for large-scale collaborative studies		[longitudinal, genetics, proteomics, transcriptomics] Genetic - WGS; Transcriptomics - single cell RNAseq; Proteomics - temporal profiling	Alzheimer's Disease; Parkinson's Disease	8 lines	https://community.addi.ad-datainitiative.org/datasets/a/d/c/datasets/DA13/a-reference-induced-pluripotent-stem-cell-line-for-large-scale-collaborative-studies	Excellent FAIR compliance with mandatory open science policies through ADDI platform, comprehensive standardized metadata including genomic coordinates and cell line characterization, rapid data sharing of WGS and single-cell transcriptomics in standard formats (FASTQ, BAM, VCF), strong findability through persistent identifiers and detailed study keywords (CARD, CRISPR, cell line), accessibility through documented NIH-CARD GitHub repository with analysis workflows, interoperability via standardized genomic file formats, and high reusability with published protocols and preprint documentation for differentiation workflows.	Biosample	January 2026
Mis-spliced transcripts generate de novo proteins in TDP-43-related Amyotrophic Lateral Sclerosis/Frontotemporal Dementia		[genetics, proteomics, transcriptomics] Whole Genome Sequencing; Mass Spectrometry Proteomics; RNA Sequencing; Ribosome Sequencing; Long Read RNA Sequencing	Amyotrophic Lateral Sclerosis; Frontotemporal Dementia	15 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with data hosted on AD Data Initiative platform (discover.alzheimersdata.org), multi-modal omics data (WGS, proteomics, transcriptomics, ribosome sequencing) with standardized formats (fastq, mass spectrometry files), comprehensive molecular characterization of TDP-43-related pathology across brain tissue and CSF samples, supporting robust dataset findability, accessibility, interoperability and reusability for neurodegenerative disease research	Human	January 2026
Emory Goizueta Alzheimer's Disease Research Center – Genetics and Neuroproteomics Core	ADRC-GNPC	[proteomics, genetics, longitudinal] Plasma proteomics; APOE Genotype; longitudinal	Alzheimer's Disease; Dementia; Lewy Body Dementia; Mild Cognitive Impairment; Vascular Dementia	493 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with plasma proteomics data (762 samples including 269 longitudinal) from Emory Goizueta ADRC through the GNPC consortium, analyzed on SomaScan v4.1 7k platform. Strong findability through alzheimersdata.org portal and standardized ADRC data collection protocols, excellent accessibility through formal data access mechanisms, strong interoperability using common ADRC data elements and standardized proteomic platforms, and good reusability with comprehensive longitudinal observational study design supporting secondary research across Alzheimer's and related dementias research networks.	Human	January 2026
Biomarkers For Identifying Neurodegenerative Disorders Early and Reliably - Proteomics	BioFINDER	[clinical, proteomics, longitudinal] Clinical; Demographics; Proteomics; SomaScan 7K plasma proteomics; longitudinal	Alzheimer's Disease; Mild Cognitive Impairment; Parkinson's Disease	2000 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance. Dataset is accessible through the Alzheimer's Disease Data Initiative (ADDI) discovery platform, which implements mandatory open science policies and standardized data sharing protocols. The study includes well-defined multi-modal data structure with standardized SomaScan 7K proteomics platform data combined with clinical demographics. Longitudinal study design with comprehensive biomarker documentation supports high reusability for Alzheimer's and Parkinson's disease research.	Human	January 2026
North African Dementia Registry (NADR)-Egypt cohort	NADR-Egypt	[clinical] Clinical assessments; Peripheral blood samples; Cognitive testing; Demographic data; Medical history	Alzheimer's Disease; Dementia; Mild Cognitive Impairment; Mixed Dementia; Vascular Dementia	1500 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance as data is accessible through the Alzheimer's Disease Data Initiative (ADDI) discover portal, which implements mandatory open science policies, standardized metadata schemas, and comprehensive data sharing infrastructure. The registry structure enables systematic longitudinal data collection with standardized clinical protocols, supporting findability, accessibility, interoperability, and reusability across the dementia research community.	Human	January 2026
BORCS6 Knockdown Transcriptomics on Induced Neurons		[transcriptomics] RNA sequencing	Frontotemporal Dementia	1 participant	http://discover.alzheimersdata.org/	Excellent FAIR compliance: Dataset is accessible through the Alzheimer's Disease Data Initiative (ADDI) discovery portal, which enforces mandatory data sharing policies and provides standardized metadata frameworks. RNA sequencing data from iPSC-derived neurons with clear experimental documentation (BORCS6 knockdown vs non-targeting control, WTC11 cell line, day 7 post-induction timepoint) enables reproducibility. The structured omics data format and detailed methodology description support FAIR principles of findability, accessibility, interoperability, and reusability.	Biosample	January 2026
NPH Integrative Analysis Datasets	NPH	[transcriptomic, genetic, clinical] Single-nucleus RNA sequencing; Genetic analysis; Cortical biopsies	Alzheimer's Disease	1 participant	http://discover.alzheimersdata.org/	Excellent FAIR compliance. This dataset is accessible through the Alzheimer's Disease Data Initiative (ADDI) platform (discover.alzheimersdata.org), which implements mandatory open science policies and provides comprehensive data sharing infrastructure. The integrative analysis approach combines single-nucleus transcriptomics with systematic cross-disease and cross-species comparisons, demonstrating strong adherence to community data standards and interoperability principles. The detailed cellular atlas and systematic analytical framework enhance reusability.	Human	January 2026
AD-linked R47H-TREM2 mutation induces disease-enhancing microglial states via AKT hyperactivation		[transcriptomic, genetic] Single nuclear RNA sequencing; Genetic analysis; Brain tissue analysis	Alzheimer's Disease	46 participants	https://pubmed.ncbi.nlm.nih.gov/34851693/	Good FAIR compliance with formal publication in peer-reviewed journal, PubMed indexing, and likely deposition of sequencing data in public repositories per journal requirements. Study involves droplet-based single nuclear RNA sequencing with detailed methodology documentation.	Human	January 2026
Mayo Clinic Study of Aging Clinical + PET Data (Global Neuroimaging Phenotyping Center)	MCSA-GNPC	[clinical, imaging, proteomics] Clinical assessments; Demographics; Cognitive testing; APOE genotyping; Biomarkers (Amyloid beta 42/40, p-tau 181, p-tau 217); PET imaging; Proteomics	Dementia; Mild Cognitive Impairment	533 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance as evidenced by data sharing through the Alzheimer's Disease Data Initiative (ADDI) platform (discover.alzheimersdata.org), which implements mandatory open science policies and standardized metadata frameworks. The dataset includes comprehensive longitudinal data (2-5 visits per participant) with well-structured clinical, proteomics, biomarker, and PET imaging measures from a population-based cohort, supporting broad interoperability and reusability for Alzheimer's disease and dementia research.	Human	January 2026
Plasma biomarkers and cognitive measures in Chinese Americans with Alzheimer's disease and mild cognitive impairment		[clinical] Plasma biomarkers (APOE Genotype, bFGF, MMP-1, VEGF, VEGF-C); Cognitive assessments (CASI, UCSF MAC Bedside Neuropsychological Screen); Neuropsychological evaluation	Alzheimer's Disease; Mild Cognitive Impairment; Cognitively Normal Controls	34 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance with data hosted on Alzheimer's Disease Data Initiative (ADDI) platform, ensuring findability through standardized metadata and discoverability infrastructure. The study includes well-documented biomarker assays with detailed protocols (MESO QuickPlex SQ 120 platform), comprehensive cognitive testing data using validated instruments (CASI, UCSF MAC), and structured data processing methodology. Accessibility is enhanced through the ADDI discover portal which provides community-wide data sharing capabilities and standardized access procedures.	Human	January 2026
Biomarkers of Cognitive Decline Among Normal Individuals	BIOCARD	[longitudinal, imaging, genetics] Clinical assessments; Cognitive testing; Neuropsychological assessments; Imaging - DTI; Imaging - FLAIR; Imaging - fMRI; Imaging - PET; Imaging - T1W; Biofluid - Blood; Biofluid - CSF; Genomics - DNA; Neuropathology	Alzheimer's Disease; Mild Cognitive Impairment; Mixed Dementia	477 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance. Access URL contains 'alzheimersdata' indicating data availability through Alzheimer's Disease Data Initiative (ADDI) platform. BIOCARD is a well-established longitudinal observational study with over 20 years of follow-up data. The study features comprehensive multimodal data (clinical, imaging, biofluid biomarkers, genomics, neuropathology) collected using standardized protocols. Data are well-documented with extensive published literature describing methods and procedures. The study uses common data elements and standardized neuroimaging protocols ensuring interoperability with other AD cohort studies. Biomarkers include Amyloid (Aβ42/40), APOE4 genotype, Tau (p-tau 181), and inflammation markers (GFAP, sTREM2). Controlled access through formal application processes ensures appropriate data use while maximizing research utility.	Human	January 2026
Mayo Clinic Study of Aging Clinical + PET Data	MCSA	[clinical, imaging, genetics, longitudinal] Demographics; APOE genotyping; Cognitive testing; Biomarkers (Aβ42/40, p-tau 181, p-tau 217); PET imaging	Dementia; Mild Cognitive Impairment	533 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance as data is available through the Alzheimer's Disease Data Initiative (ADDI) discovery platform, which implements mandatory open science policies and standardized metadata schemas. The dataset includes well-structured longitudinal clinical assessments, standardized biomarker measurements, and PET imaging data with comprehensive documentation of protocols and data dictionaries, enabling high reusability for Alzheimer's disease research.	Human	January 2026
The RNAseq Sample Swap Study	rnaSeqSampleSwap	[transcriptomics] RNA Sequencing; Gene Expression	No Cognitive Impairment	30 participants	https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=rnaSeqSampleSwap	Strong FAIR compliance with well-documented cross-consortia methodology, standardized RNA sequencing protocols across multiple sites (Broad, Mayo Clinic, MSSM), comprehensive metadata including library prep methods and brain regions, and data accessibility through the AD Knowledge Portal with detailed query links; however, methodological complexity and site-specific protocol variations may impact data harmonization and reusability	Multi-study	January 2026
The Adult Changes in Thought (ACT) Study	ACT	[clinical, proteomics] Clinical assessments; Cognitive screening (CASI); Neuropathological evaluation; Brain tissue autopsy; Proteomics	Alzheimer's Disease; Asymptomatic Alzheimer's Disease; Cognitively Normal Controls	5,000+ participants (full cohort)	http://discover.alzheimersdata.org/	Excellent FAIR compliance as part of the AMP-AD consortium with data accessible through the AD Knowledge Portal (discover.alzheimersdata.org), utilizing standardized CERAD and Braak staging systems for neuropathological assessment, comprehensive metadata documentation including clinical phenotypes and proteomic profiles, and integration with broader Alzheimer's research data sharing infrastructure.	Human	January 2026
The Banner Sun Health Research Institute Brain and Body Donation Program	Banner BBDP	[clinical, proteomics] Clinical assessments; Neuropathological evaluation; CERAD criteria; Braak staging; Proteomics; Label-free proteome analysis	Alzheimer's Disease; Cognitively Normal Controls	201 participants (100 AD, 101 controls)	https://www.bannerhealth.com/research/locations/sun-health-institute/programs/body-donation	Strong FAIR compliance with well-characterized biospecimens through standardized neuropathological criteria (CERAD, Braak staging), comprehensive clinical and omics data integration, and controlled access through formal application procedures. Data reusability is enhanced by detailed pathological characterization and multi-modal data collection, though access is restricted to local/approved researchers rather than open platforms.	Human	January 2026
The Broad iPSC (BroadiPSC) Study	BroadiPSC	[proteomics, trasncriptomics] Proteomics; Transcriptomics	No Cognitive Impairment	Not specified	http://discover.alzheimersdata.org/	Excellent FAIR compliance: Data accessible through AD Knowledge Portal (AMP-AD), standardized RNA-Seq protocols through Broad Institute's Genomics Platform with documented library construction methods, comprehensive metadata including sample types (iPSC, neural progenitor cells, mature neurons, astrocytes), differentiation timepoints, and standardized data collection protocols.	Biosample	January 2026
The Broad MDMi (BroadMDMi) Study	BroadMDMi	[transcriptomics] RNA-Seq; Gene Expression	No Cognitive Impairment	5 participants	http://discover.alzheimersdata.org/	Excellent FAIR compliance. The study is hosted on the AD Knowledge Portal (discover.alzheimersdata.org), which implements mandatory open science policies as part of the AMP-AD consortium. The dataset features comprehensive standardized metadata including detailed RNA-Seq methodology (Broad Institute's Large Insert Illumina Strand Specific TruSeq protocol with 450-550bp insert sizes and 75M paired-end read coverage), clear sample type documentation (monocytes, macrophages, microglia-like cells), and published validation (Ryan et al., Sci Transl Med. 2017). Data is shared through the AD Knowledge Portal platform ensuring interoperability and reusability with standardized omics data formats.	Human	January 2026
The Center for Health Discovery and Well Being Study	CHDWB	[clinical, metabolomics, transcriptomics] Clinical assessments; Blood samples; Metabolomics; Gene Expression	No Cognitive Impairment	700 participants	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001260	Strong FAIR compliance with controlled access through dbGaP (phs001260), persistent identifiers, standardized data collection protocols for clinical and multi-omics data integration, comprehensive phenotype documentation, and adherence to community data standards, though restricted to controlled access requiring data use agreements.	Human	January 2026
